image_id,filename,attractiveness_mean,bmi,identity_group,body_id,head_id,variant,label_sex,demographic_code,label_kind,image_sha256,width,height,timestamp,outcome,refusal,cause,pose_warning,sil_retry,routing,skin_frac,framing,person_frac,override,gate_band,gate_tilt,gate_yaw,skel_symmetry,model_raw,geom_bp_m,geom_cv_m,geom_bp_f,geom_cv_f,geom_cues,bp,bp_band,cv,cv_band,sex,sex_conf,sex_source,reliability,tier0_ffmi,tier0_bf,crosscheck
T300,T300.jpg,1.42,13.19,T300,T300,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,31f7d410aa8329636055043f60301a222a22db22e08ac6526bf82f668d834404,961,1783,,scored,,,,0,clothed→model,9%,full,0.928,,pass,0.0152,6.2,0.0164,43.946,49.86,63.38,78.69,75.57,whr+vTaper+shoulderHip+legTorso+symmetry,7.90,6.93–10.00,7.90,6.93–10.00,unknown,57%,unconfirmed,,,,
T290,T290.jpg,1.51,13.38,T290,T290,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,e73e3766f0b877c84a0b2bd9247fa6e2ff5f0577a2b3ba3418417c8849038da0,961,1783,,scored,,,,0,clothed→model,9%,full,0.927,,pass,0.0244,19.6,0.0257,44.616,48.03,60.90,77.92,74.57,whr+vTaper+shoulderHip+legTorso+symmetry,7.98,6.96–10.00,7.98,6.96–10.00,unknown,56%,unconfirmed,,,,
T280,T280.jpg,1.49,13.47,T280,T280,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,8a6aac986dec2da2f4596bdc08d22b02b26a2754376fa8bc049c7b06c3d04243,961,1783,,scored,,,,0,clothed→model,9%,full,0.937,,pass,0.0354,5.8,0.0415,43.007,48.42,61.16,77.85,74.01,whr+vTaper+shoulderHip+legTorso+symmetry,7.80,6.89–10.00,7.80,6.89–10.00,f,,guess,,,,
T270,T270.jpg,1.59,13.77,T270,T270,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,b5e007fee863f5e868a5896251f77a29435b31bf1326aa0c55a22ac9bfb6c9cb,961,1783,,scored,,,,0,clothed→model,9%,full,0.930,,pass,0.0222,5.5,0.0342,42.491,49.87,62.68,78.86,74.70,whr+vTaper+shoulderHip+legTorso+symmetry,7.70,6.85–10.00,7.70,6.85–10.00,f,,guess,,,,
T260,T260.jpg,1.74,13.86,T260,T260,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,6e766cd3b563a1a3d653b707c9bd4a9ba80e60ac3908a45240b53c624517d9e2,961,1783,,scored,,,,0,clothed→model,9%,full,0.928,,pass,0.0282,7.0,0.0393,42.267,50.73,63.74,80.61,77.39,whr+vTaper+shoulderHip+legTorso+symmetry,7.66,6.83–10.00,7.66,6.83–10.00,unknown,62%,unconfirmed,,,,
T250,T250.jpg,2.06,14.10,T250,T250,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,25a42697774088c072890b4db8fb9016078b5863f85e9bef37f329df30e9537e,961,1783,,scored,,,,0,clothed→model,9%,full,0.931,,pass,0.0264,1.5,0.0385,43.587,49.68,62.94,81.47,80.09,whr+vTaper+shoulderHip+legTorso+symmetry,7.86,6.92–10.00,7.86,6.92–10.00,unknown,63%,unconfirmed,,,,
T240,T240.jpg,2.17,14.28,T240,T240,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,59147a1785cd95198e24eb424f11bbdaa41879c100ef7e77991aa764a3b3e90d,961,1783,,scored,,,,0,clothed→model,9%,full,0.936,,pass,0.0190,0.7,0.0338,42.492,50.13,63.12,80.82,78.32,whr+vTaper+shoulderHip+legTorso+symmetry,7.71,6.85–10.00,7.71,6.85–10.00,unknown,61%,unconfirmed,,,,
T230,T230.jpg,2.33,14.46,T230,T230,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,b388352d3075f837db6bc60c6bf7a931d6fc67a69dbb2db2fbd3f120b311885d,961,1783,,scored,,,,0,clothed→model,8%,full,0.939,,pass,0.0282,1.9,0.0354,42.496,49.88,62.59,80.48,77.98,whr+vTaper+shoulderHip+legTorso+symmetry,7.71,6.85–10.00,7.71,6.85–10.00,unknown,55%,unconfirmed,,,,
T220,T220.jpg,2.50,14.65,T220,T220,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,12773b08a8ce4eee41434cc6ef1500291695b9647bf071683404d04db47862fe,961,1783,,scored,,,,0,clothed→model,8%,full,0.940,,pass,0.0276,10.8,0.0337,42.480,50.55,63.11,80.98,79.13,whr+vTaper+shoulderHip+legTorso+symmetry,7.70,6.85–10.00,7.70,6.85–10.00,f,,guess,,,,
T210,T210.jpg,3.08,14.87,T210,T210,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,a54e3fcdb2118a48f6fc4bfc8fdaffd0b9b98916299a6125a17bfbe5accc2d31,961,1783,,scored,,,,0,clothed→model,8%,full,0.948,,pass,0.0258,0.2,0.0261,39.881,50.84,63.46,81.08,79.09,whr+vTaper+shoulderHip+legTorso+symmetry,7.41,6.69–10.00,7.41,6.69–10.00,f,,guess,,,,
T200,T200.jpg,3.40,15.06,T200,T200,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,fd2061ee7cb5e483263e52a5c2fd7a2ade376f51954df503bbd085ac7c385fb8,961,1783,,scored,,,,0,clothed→model,7%,full,0.935,,pass,0.0238,4.3,0.0253,37.904,50.93,63.27,80.16,77.52,whr+vTaper+shoulderHip+legTorso+symmetry,7.13,6.52–8.63,7.13,6.52–8.63,f,,guess,,,,
T190,T190.jpg,3.70,15.24,T190,T190,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,8fd6532cd9d6e021f371d0288eaa0a11dcc4d4b51f0693cf0983853945c2fe07,961,1783,,scored,,,,0,clothed→model,7%,full,0.945,,pass,0.0128,1.2,0.0221,39.361,51.68,63.89,80.23,78.45,whr+vTaper+shoulderHip+legTorso+symmetry,7.38,6.68–10.00,7.38,6.68–10.00,f,,guess,,,,
T180,T180.jpg,3.99,15.49,T180,T180,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,98ac0a3ef23e4ddbba09f3a5d1111ab3a1e44f2ac6608af3d62600dc2a6d7316,961,1783,,scored,,,,0,clothed→model,6%,full,0.949,,pass,0.0110,1.5,0.0186,39.158,52.52,64.57,79.82,78.08,whr+vTaper+shoulderHip+legTorso+symmetry,7.32,6.65–10.00,7.32,6.65–10.00,f,,guess,,,,
T170,T170.jpg,4.62,15.67,T170,T170,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,6fe29d558fb66866d308ff8c9fe7bcec2526d1afccf920050aece0cae6cdcde9,961,1783,,scored,,,,0,clothed→model,6%,full,0.946,,pass,0.0103,3.7,0.0181,37.872,52.36,64.60,80.48,78.85,whr+vTaper+shoulderHip+legTorso+symmetry,7.13,6.52–8.63,7.13,6.52–8.63,f,,guess,,,,
T160,T160.jpg,5.07,15.74,T160,T160,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,88db3b20a7fb1ebcc116c75fb27d5a1efcd2e2dad9485d6a70c04d722333e55d,961,1783,,scored,,,,0,clothed→model,7%,full,0.952,,pass,0.0037,6.9,0.0142,44.418,52.14,64.66,81.49,81.08,whr+vTaper+shoulderHip+legTorso+symmetry,7.96,6.95–10.00,7.96,6.95–10.00,unknown,59%,unconfirmed,,,,
T150,T150.jpg,5.64,16.12,T150,T150,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,db44da2ee79c39513b8d85091f5a7afc83fd50ded253ff918e13e997a8a5fb98,961,1783,,scored,,,,0,clothed→model,7%,full,0.948,,pass,0.0186,0.4,0.0315,36.979,53.18,65.20,80.15,80.10,whr+vTaper+shoulderHip+legTorso+symmetry,7.09,6.50–8.42,7.09,6.50–8.42,unknown,57%,unconfirmed,,,,
T140,T140.jpg,5.95,16.40,T140,T140,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,15e666f1161a56bfda6c63cb2919908e819e7e241d4a17b74747e83835dfe101,961,1783,,scored,,,,0,clothed→model,8%,full,0.954,,pass,0.0181,1.4,0.0230,43.758,53.96,65.88,79.42,80.46,whr+vTaper+shoulderHip+legTorso+symmetry,7.88,6.92–10.00,7.88,6.92–10.00,unknown,54%,unconfirmed,,,,
T130,T130.jpg,6.58,16.64,T130,T130,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,617aa882e6d147ac330f5e09eee689ce036794279761dc1646d5154d0a1be831,961,1783,,scored,,,,0,clothed→model,6%,full,0.949,,pass,0.0061,5.2,0.0089,37.501,53.91,65.87,79.31,80.17,whr+vTaper+shoulderHip+legTorso+symmetry,7.11,6.51–8.53,7.11,6.51–8.53,unknown,58%,unconfirmed,,,,
T120,T120.jpg,6.87,16.81,T120,T120,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,3bb6dc67a28e0e3fc818260f3d32c54475f020ef9aeb99d54e5dca48f340ad84,961,1783,,scored,,,,0,clothed→model,5%,full,0.949,,pass,0.0070,2.8,0.0143,42.293,54.51,66.07,77.75,78.11,whr+vTaper+shoulderHip+legTorso+symmetry,7.67,6.83–10.00,7.67,6.83–10.00,f,,guess,,,,
T110,T110.jpg,7.26,17.08,T110,T110,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,08afab528bbebab14b65e876e525ff3399b16be36f86e2030844d30c94988fa8,961,1783,,scored,,,,0,clothed→model,7%,full,0.955,,pass,0.0069,11.5,0.0065,44.135,55.22,66.74,77.09,78.99,whr+vTaper+shoulderHip+legTorso+symmetry,7.92,6.94–10.00,7.92,6.94–10.00,f,75%,model,,,,
T100,T100.jpg,7.42,17.28,T100,T100,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,3b6e601167ad63768f2fa25b2abc5a6b16b9481d9d321326c9044f3eba2234a9,961,1783,,scored,,,,0,clothed→model,5%,full,0.948,,pass,0.0072,7.2,0.0090,42.149,54.64,66.32,78.01,79.29,whr+vTaper+shoulderHip+legTorso+symmetry,7.62,6.81–10.00,7.62,6.81–10.00,unknown,55%,unconfirmed,,,,
T090,T090.jpg,7.47,17.56,T090,T090,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,48633c95e5f414490e48df5cca984bb2e574bc0adbb662de708fe6f8e04bf75d,961,1783,,scored,,,,0,clothed→model,5%,full,0.961,,pass,0.0096,8.1,0.0083,41.803,55.28,66.65,76.55,77.89,whr+vTaper+shoulderHip+legTorso+symmetry,7.55,6.77–10.00,7.55,6.77–10.00,f,,guess,,,,
