image_id,filename,attractiveness_mean,bmi,identity_group,body_id,head_id,variant,label_sex,demographic_code,label_kind,image_sha256,width,height
T300,T300.jpg,1.42,13.19,T300,T300,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,31f7d410aa8329636055043f60301a222a22db22e08ac6526bf82f668d834404,961,1783
T290,T290.jpg,1.51,13.38,T290,T290,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,e73e3766f0b877c84a0b2bd9247fa6e2ff5f0577a2b3ba3418417c8849038da0,961,1783
T280,T280.jpg,1.49,13.47,T280,T280,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,8a6aac986dec2da2f4596bdc08d22b02b26a2754376fa8bc049c7b06c3d04243,961,1783
T270,T270.jpg,1.59,13.77,T270,T270,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,b5e007fee863f5e868a5896251f77a29435b31bf1326aa0c55a22ac9bfb6c9cb,961,1783
T260,T260.jpg,1.74,13.86,T260,T260,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,6e766cd3b563a1a3d653b707c9bd4a9ba80e60ac3908a45240b53c624517d9e2,961,1783
T250,T250.jpg,2.06,14.10,T250,T250,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,25a42697774088c072890b4db8fb9016078b5863f85e9bef37f329df30e9537e,961,1783
T240,T240.jpg,2.17,14.28,T240,T240,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,59147a1785cd95198e24eb424f11bbdaa41879c100ef7e77991aa764a3b3e90d,961,1783
T230,T230.jpg,2.33,14.46,T230,T230,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,b388352d3075f837db6bc60c6bf7a931d6fc67a69dbb2db2fbd3f120b311885d,961,1783
T220,T220.jpg,2.50,14.65,T220,T220,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,12773b08a8ce4eee41434cc6ef1500291695b9647bf071683404d04db47862fe,961,1783
T210,T210.jpg,3.08,14.87,T210,T210,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,a54e3fcdb2118a48f6fc4bfc8fdaffd0b9b98916299a6125a17bfbe5accc2d31,961,1783
T200,T200.jpg,3.40,15.06,T200,T200,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,fd2061ee7cb5e483263e52a5c2fd7a2ade376f51954df503bbd085ac7c385fb8,961,1783
T190,T190.jpg,3.70,15.24,T190,T190,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,8fd6532cd9d6e021f371d0288eaa0a11dcc4d4b51f0693cf0983853945c2fe07,961,1783
T180,T180.jpg,3.99,15.49,T180,T180,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,98ac0a3ef23e4ddbba09f3a5d1111ab3a1e44f2ac6608af3d62600dc2a6d7316,961,1783
T170,T170.jpg,4.62,15.67,T170,T170,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,6fe29d558fb66866d308ff8c9fe7bcec2526d1afccf920050aece0cae6cdcde9,961,1783
T160,T160.jpg,5.07,15.74,T160,T160,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,88db3b20a7fb1ebcc116c75fb27d5a1efcd2e2dad9485d6a70c04d722333e55d,961,1783
T150,T150.jpg,5.64,16.12,T150,T150,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,db44da2ee79c39513b8d85091f5a7afc83fd50ded253ff918e13e997a8a5fb98,961,1783
T140,T140.jpg,5.95,16.40,T140,T140,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,15e666f1161a56bfda6c63cb2919908e819e7e241d4a17b74747e83835dfe101,961,1783
T130,T130.jpg,6.58,16.64,T130,T130,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,617aa882e6d147ac330f5e09eee689ce036794279761dc1646d5154d0a1be831,961,1783
T120,T120.jpg,6.87,16.81,T120,T120,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,3bb6dc67a28e0e3fc818260f3d32c54475f020ef9aeb99d54e5dca48f340ad84,961,1783
T110,T110.jpg,7.26,17.08,T110,T110,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,08afab528bbebab14b65e876e525ff3399b16be36f86e2030844d30c94988fa8,961,1783
