image_id,filename,identity_group,label,baseline_model_raw,candidate_model_raw,baseline_continuous_score,baseline_public_half_point,candidate_continuous_score,candidate_public_half_point,candidate_minus_baseline_raw,letterbox_fraction
T300,T300.jpg,T300,1.42,43.946,41.880088806152344,7.9,8.0,7.558603168062867,7.5,-2.065911193847654,0.46102075154234434
T290,T290.jpg,T290,1.51,44.616,42.87713623046875,7.98,8.0,7.7758270946314205,8.0,-1.7388637695312497,0.46102075154234434
T280,T280.jpg,T280,1.49,43.007,41.383819580078125,7.8,8.0,7.499554495594619,7.5,-1.623180419921873,0.46102075154234434
T270,T270.jpg,T270,1.59,42.491,41.578880310058594,7.7,7.5,7.5223356880902505,7.5,-0.9121196899414059,0.46102075154234434
T260,T260.jpg,T260,1.74,42.267,41.45976638793945,7.66,7.5,7.508361181050623,7.5,-0.8072336120605499,0.46102075154234434
T250,T250.jpg,T250,2.06,43.587,41.36457443237305,7.86,8.0,7.497335377774158,7.5,-2.2224255676269564,0.46102075154234434
T240,T240.jpg,T240,2.17,42.492,41.312416076660156,7.71,7.5,7.491346199970245,7.5,-1.179583923339841,0.46102075154234434
T230,T230.jpg,T230,2.33,42.496,41.03722381591797,7.71,7.5,7.463963885481731,7.5,-1.4587761840820335,0.46102075154234434
T220,T220.jpg,T220,2.5,42.48,41.621986389160156,7.7,7.5,7.5274429108768715,7.5,-0.8580136108398406,0.46102075154234434
T210,T210.jpg,T210,3.08,39.881,40.674400329589844,7.41,7.5,7.445442506839287,7.5,0.7934003295898435,0.46102075154234434
T200,T200.jpg,T200,3.4,37.904,41.689292907714844,7.13,7.0,7.535471785875114,7.5,3.7852929077148403,0.46102075154234434
T190,T190.jpg,T190,3.7,39.361,41.20673370361328,7.38,7.5,7.479321516463787,7.5,1.8457337036132841,0.46102075154234434
T180,T180.jpg,T180,3.99,39.158,41.252315521240234,7.32,7.5,7.484489927876349,7.5,2.094315521240233,0.46102075154234434
T170,T170.jpg,T170,4.62,37.872,41.230628967285156,7.13,7.0,7.482027573481712,7.5,3.3586289672851564,0.46102075154234434
