image_id,filename,image_sha256,source_image_id,source_filename,transform,transform_family,label_quartile,baseline_outcome,attractiveness_mean,identity_group,width,height,timestamp,outcome,refusal,cause,pose_warning,sil_retry,routing,attempted_route,final_route,model_scheduled,skin_frac,framing,person_frac,override,crop_side_px,crop_padding_fraction,crop_outside,gate_band,gate_tilt,gate_yaw,skel_symmetry,model_raw,geom_bp_m,geom_cv_m,geom_bp_f,geom_cv_f,geom_cues,public_score,bp,bp_continuous,bp_band,cv,cv_continuous,cv_band,sex,sex_conf,sex_source,reliability,tier0_ffmi,tier0_bf,crosscheck,storage_invariant
T290__original,T290__original.jpg,e73e3766f0b877c84a0b2bd9247fa6e2ff5f0577a2b3ba3418417c8849038da0,T290,T290.jpg,original,control,1,scored,1.51,T290,961,1783,,scored,,,,0,clothed→model,model,model,true,9%,full,0.927,,1900.5563,0.52733519,true,pass,0.0244,19.6,0.0257,44.616,48.03,60.90,77.92,74.57,whr+vTaper+shoulderHip+legTorso+symmetry,8.00,8.00,7.98,6.96–10.00,8.00,7.98,6.96–10.00,unknown,56%,unconfirmed,,,,,true
T290__mirror,T290__mirror.jpg,e32a1002cfbfbdf04cfcdfa9ce36ff7ef22006f96697738fcd5ef6619eae7dfd,T290,T290.jpg,mirror,mirror,1,scored,1.51,T290,961,1783,,scored,,,,0,clothed→model,model,model,true,9%,full,0.942,,1931.9505,0.54092595,true,pass,0.0267,10.5,0.0271,43.111,49.45,62.57,80.03,77.48,whr+vTaper+shoulderHip+legTorso+symmetry,8.00,8.00,7.81,6.90–10.00,8.00,7.81,6.90–10.00,f,,guess,,,,,true
T290__crop_center_10,T290__crop_center_10.jpg,d46d5b80d469ec462c7dfbd951e585f50a830fed36efaa08399f9d5bf1987c96,T290,T290.jpg,crop_center_10,crop,1,scored,1.51,T290,769,1427,,refused,"No body found — use a clear, full-body, front-facing photo.",no-body,,0,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true
T290__crop_legs_20,T290__crop_legs_20.jpg,3f7ba4f477caead6e718dc63e4a529389830b90042482f405bc98f3f1b53ba91,T290,T290.jpg,crop_legs_20,crop,1,scored,1.51,T290,961,1426,,scored,,,,0,clothed→geometry,geometry,geometry,false,6%,torso,1.000,framing,1639.9000,0.49042492,true,degraded,0.0446,24.3,,,39.86,55.95,77.56,75.34,whr+vTaper+shoulderHip,7.50,7.50,7.28,5.49–10.00,7.50,7.28,5.49–10.00,f,,guess,non-standard framing: the photo is cropped above the feet — the score scale was calibrated on full-body shots — scored anyway at reduced accuracy,,,,true
T290__pad_wide_black,T290__pad_wide_black.jpg,a0bd8a77a7a345520534cb9b2db990786bbfc9ed971d9af7e2914503358d3fe1,T290,T290.jpg,pad_wide_black,padding_aspect,1,scored,1.51,T290,1345,1783,,scored,,,,0,clothed→model,model,model,true,9%,full,0.932,,1910.0290,0.34265451,true,pass,0.0138,2.3,0.0248,42.995,44.26,59.49,46.29,46.82,whr+vTaper+shoulderHip+legTorso+symmetry,8.00,8.00,7.80,6.89–10.00,8.00,7.80,6.89–10.00,unknown,52%,unconfirmed,,,,,true
T290__pad_tall_black,T290__pad_tall_black.jpg,9b05c9f2599254795836994fc1bb505c4fd9bf9befc283c37b9161c348a4bdc6,T290,T290.jpg,pad_tall_black,padding_aspect,1,scored,1.51,T290,961,2318,,scored,,,,0,clothed→model,model,model,true,8%,full,0.728,,1940.1246,0.50467099,true,pass,0.0365,16.1,0.0290,44.273,47.10,59.65,77.66,74.54,whr+vTaper+shoulderHip+legTorso+symmetry,8.00,8.00,7.94,6.95–10.00,8.00,7.94,6.95–10.00,f,,guess,,,,,true
T290__canvas_light_gray,T290__canvas_light_gray.jpg,e41caaa64990ccf2f53467f58f5b695198706a4e6d57a8c8e587cf34d39ca03d,T290,T290.jpg,canvas_light_gray,background_canvas,1,scored,1.51,T290,1201,2229,,scored,,,,0,clothed→model,model,model,true,8%,full,0.762,,1952.2233,0.38480397,true,pass,0.0266,19.1,0.0287,44.899,43.87,56.27,76.69,75.42,whr+vTaper+shoulderHip+legTorso+symmetry,8.00,8.00,8.02,6.98–10.00,8.00,8.02,6.98–10.00,unknown,55%,unconfirmed,,,,,true
T290__aspect_squeeze_80,T290__aspect_squeeze_80.jpg,30bd645c3a3196977805c6d61065c930d420ff9bf0c03d1f479bd1487d8d4d8a,T290,T290.jpg,aspect_squeeze_80,padding_aspect,1,scored,1.51,T290,769,1783,,scored,,,,0,clothed→model,model,model,true,7%,full,0.807,,1653.7229,0.55700679,true,pass,0.0390,25.9,0.0288,46.369,47.43,59.44,76.38,71.71,whr+vTaper+shoulderHip+legTorso+symmetry,8.00,8.00,8.25,7.05–10.00,8.00,8.25,7.05–10.00,unknown,56%,unconfirmed,,,,,true
T290__resolution_256,T290__resolution_256.jpg,e6f8559323fab71d8b7e17f82ea5c1b1612cc8a1c2af0909076feacdfe3f7191,T290,T290.jpg,resolution_256,resolution,1,scored,1.51,T290,138,256,,scored,,,,0,clothed→model,model,model,true,10%,full,0.903,,265.9284,0.51490704,true,pass,0.0177,15.3,0.0153,43.748,49.82,63.00,77.49,72.99,whr+vTaper+shoulderHip+legTorso+symmetry,8.00,8.00,7.88,6.92–10.00,8.00,7.88,6.92–10.00,f,,guess,,,,,true
T290__brightness_70,T290__brightness_70.jpg,9852ddc10899a45d46a293cfce7606ec67f9e9981557f8900d92bb82c3dcfc7e,T290,T290.jpg,brightness_70,lighting,1,scored,1.51,T290,961,1783,,scored,,,,0,clothed→model,model,model,true,9%,full,0.930,,1905.9727,0.52867840,true,pass,0.0201,0.3,0.0175,45.839,48.57,61.59,78.46,75.26,whr+vTaper+shoulderHip+legTorso+symmetry,8.00,8.00,8.16,7.02–10.00,8.00,8.16,7.02–10.00,f,,guess,,,,,true
