image_id,filename,image_sha256,source_image_id,source_filename,transform,transform_family,label_quartile,baseline_outcome,attractiveness_mean,identity_group,width,height
T290__original,T290__original.jpg,e73e3766f0b877c84a0b2bd9247fa6e2ff5f0577a2b3ba3418417c8849038da0,T290,T290.jpg,original,control,1,scored,1.51,T290,961,1783
T290__mirror,T290__mirror.jpg,e32a1002cfbfbdf04cfcdfa9ce36ff7ef22006f96697738fcd5ef6619eae7dfd,T290,T290.jpg,mirror,mirror,1,scored,1.51,T290,961,1783
T290__crop_center_10,T290__crop_center_10.jpg,d46d5b80d469ec462c7dfbd951e585f50a830fed36efaa08399f9d5bf1987c96,T290,T290.jpg,crop_center_10,crop,1,scored,1.51,T290,769,1427
T290__crop_legs_20,T290__crop_legs_20.jpg,3f7ba4f477caead6e718dc63e4a529389830b90042482f405bc98f3f1b53ba91,T290,T290.jpg,crop_legs_20,crop,1,scored,1.51,T290,961,1426
T290__pad_wide_black,T290__pad_wide_black.jpg,a0bd8a77a7a345520534cb9b2db990786bbfc9ed971d9af7e2914503358d3fe1,T290,T290.jpg,pad_wide_black,padding_aspect,1,scored,1.51,T290,1345,1783
T290__pad_tall_black,T290__pad_tall_black.jpg,9b05c9f2599254795836994fc1bb505c4fd9bf9befc283c37b9161c348a4bdc6,T290,T290.jpg,pad_tall_black,padding_aspect,1,scored,1.51,T290,961,2318
T290__canvas_light_gray,T290__canvas_light_gray.jpg,e41caaa64990ccf2f53467f58f5b695198706a4e6d57a8c8e587cf34d39ca03d,T290,T290.jpg,canvas_light_gray,background_canvas,1,scored,1.51,T290,1201,2229
T290__aspect_squeeze_80,T290__aspect_squeeze_80.jpg,30bd645c3a3196977805c6d61065c930d420ff9bf0c03d1f479bd1487d8d4d8a,T290,T290.jpg,aspect_squeeze_80,padding_aspect,1,scored,1.51,T290,769,1783
T290__resolution_256,T290__resolution_256.jpg,e6f8559323fab71d8b7e17f82ea5c1b1612cc8a1c2af0909076feacdfe3f7191,T290,T290.jpg,resolution_256,resolution,1,scored,1.51,T290,138,256
T290__brightness_70,T290__brightness_70.jpg,9852ddc10899a45d46a293cfce7606ec67f9e9981557f8900d92bb82c3dcfc7e,T290,T290.jpg,brightness_70,lighting,1,scored,1.51,T290,961,1783
T290__brightness_130,T290__brightness_130.jpg,0e2f41897555a2ea8443be1f68faa431aa4c73b3f8971341706d29c6f6db1d39,T290,T290.jpg,brightness_130,lighting,1,scored,1.51,T290,961,1783
T290__contrast_70,T290__contrast_70.jpg,c2dedf26e312b7a913e7117c83b0adbea0ccd2b71dab19c70aa46e99eba10cf3,T290,T290.jpg,contrast_70,lighting,1,scored,1.51,T290,961,1783
T290__contrast_130,T290__contrast_130.jpg,7caaefe793996e811bcfa6b3f440eec090d1498781675879372b43f2ed0a86b5,T290,T290.jpg,contrast_130,lighting,1,scored,1.51,T290,961,1783
T290__side_lighting,T290__side_lighting.jpg,1feabd395a2bf0736f0bb15e06a90f3d5435dd1ee93c5e4e27fdcb5bc96942fc,T290,T290.jpg,side_lighting,lighting,1,scored,1.51,T290,961,1783
T290__jpeg_q35,T290__jpeg_q35.jpg,d61ba75e42b8c35adbad01189ede3a3a5cc58a4e1bac3ce40e10b704b4eedab3,T290,T290.jpg,jpeg_q35,jpeg,1,scored,1.51,T290,961,1783
