image_id,source_image_id,transform,transform_family,label_quartile,baseline_outcome,outcome,refusal,cause,current_route,current_sex,crop_side_px,crop_padding_fraction,crop_outside,crop_padding_delta,current_framing,current_cues,current_score_form,current_interval_width,current_continuous,current_public,current_delta,current_public_changed,route_transition,candidate_raw,candidate_continuous,candidate_public,candidate_delta,candidate_public_changed,candidate_letterbox_fraction
T290__original,T290,original,control,1,scored,scored,,,clothed→model,unknown,1900.5563,0.52733519,true,0.0,full,whr+vTaper+shoulderHip+legTorso+symmetry,scalar,0.0,7.98,8.0,0.0,False,False,42.87713623046875,7.7758270946314205,8.0,0.0,False,0.46102075154234434
T290__mirror,T290,mirror,mirror,1,scored,scored,,,clothed→model,f,1931.9505,0.54092595,true,0.013590760000000035,full,whr+vTaper+shoulderHip+legTorso+symmetry,scalar,0.0,7.81,8.0,-0.17000000000000082,False,False,44.96049118041992,8.029365013990947,8.0,0.25353791935952685,False,0.46102075154234434
T290__crop_center_10,T290,crop_center_10,crop,1,scored,refused,"No body found — use a clear, full-body, front-facing photo.",no-body,refused,unknown,,,,,unknown,none,none,,,,,,True,43.690914154052734,7.8732749759014,8.0,0.0974478812699795,False,0.46110721793973375
T290__crop_legs_20,T290,crop_legs_20,crop,1,scored,scored,,,clothed→geometry,f,1639.9000,0.49042492,true,-0.03691026999999997,torso,whr+vTaper+shoulderHip,scalar,0.0,7.28,7.5,-0.7000000000000002,True,True,40.2886962890625,7.4261194411617915,7.5,-0.34970765346962907,True,0.32608695652173914
T290__pad_wide_black,T290,pad_wide_black,padding_aspect,1,scored,scored,,,clothed→model,unknown,1910.0290,0.34265451,true,-0.18468067999999993,full,whr+vTaper+shoulderHip+legTorso+symmetry,scalar,0.0,7.8,8.0,-0.1800000000000006,False,False,42.846336364746094,7.76995868282497,8.0,-0.005868411806450702,False,0.2456533931575996
T290__pad_tall_black,T290,pad_tall_black,padding_aspect,1,scored,scored,,,clothed→model,f,1940.1246,0.50467099,true,-0.022664199999999912,full,whr+vTaper+shoulderHip+legTorso+symmetry,scalar,0.0,7.94,8.0,-0.040000000000000036,False,False,49.14250946044922,8.795991777719243,9.0,1.0201646830878222,True,0.58541846419327
T290__canvas_light_gray,T290,canvas_light_gray,background_canvas,1,scored,scored,,,clothed→model,unknown,1952.2233,0.38480397,true,-0.14253121999999996,full,whr+vTaper+shoulderHip+legTorso+symmetry,scalar,0.0,8.02,8.0,0.03999999999999915,False,False,44.91724395751953,8.023338626778749,8.0,0.24751153214732824,False,0.4611933602512337
T290__aspect_squeeze_80,T290,aspect_squeeze_80,padding_aspect,1,scored,scored,,,clothed→model,unknown,1653.7229,0.55700679,true,0.02967160000000002,full,whr+vTaper+shoulderHip+legTorso+symmetry,scalar,0.0,8.25,8.0,0.2699999999999996,False,False,50.19425582885742,8.871930741962492,9.0,1.0961036473310717,True,0.5687044307347168
T290__resolution_256,T290,resolution_256,resolution,1,scored,scored,,,clothed→model,f,265.9284,0.51490704,true,-0.012428149999999971,full,whr+vTaper+shoulderHip+legTorso+symmetry,scalar,0.0,7.88,8.0,-0.10000000000000053,False,False,41.636268615722656,7.5291410387991995,7.5,-0.24668605583222103,True,0.4609375
T290__brightness_70,T290,brightness_70,lighting,1,scored,scored,,,clothed→model,f,1905.9727,0.52867840,true,0.001343210000000039,full,whr+vTaper+shoulderHip+legTorso+symmetry,scalar,0.0,8.16,8.0,0.17999999999999972,False,False,45.23528289794922,8.068797189673328,8.0,0.2929700950419072,False,0.46102075154234434
T290__brightness_130,T290,brightness_130,lighting,1,scored,scored,,,clothed→model,unknown,1870.7301,0.51979921,true,-0.007535979999999998,full,whr+vTaper+shoulderHip+legTorso+symmetry,scalar,0.0,7.88,8.0,-0.10000000000000053,False,False,44.24647521972656,7.936167561101314,8.0,0.16034046646989353,False,0.46102075154234434
T290__contrast_70,T290,contrast_70,lighting,1,scored,scored,,,clothed→model,f,1904.5811,0.52833404,true,0.0009988499999999956,full,whr+vTaper+shoulderHip+legTorso+symmetry,scalar,0.0,7.99,8.0,0.009999999999999787,False,False,44.54252243041992,7.972981181317489,8.0,0.19715408668606837,False,0.46102075154234434
