identity_id,split,expected_sex,expected_looks,editorial_ethnicity,submitted_images,scored_images,refused_images,error_images,refusal_rate,raw_mean,aggregate_display_score,raw_sd,raw_range,raw_mad,worst_pair_absolute_raw_gap,worst_pair_image_a,worst_pair_raw_a,worst_pair_image_b,worst_pair_raw_b
adele,train,f,6.5,white,4,2,2,0,0.5,4.0265,7.349405728014212,0.09404520189781083,0.133,0.0665,0.133,images/roster/adele/9.jpg,4.093,images/roster/adele/10.jpg,3.96
aerith-gainsborough,train,f,8.5,other,5,4,1,0,0.2,3.502,6.426902004026099,0.5046312184820384,1.0820000000000003,0.21350000000000025,1.0820000000000003,images/roster/aerith-gainsborough/2.jpg,3.886,images/roster/aerith-gainsborough/4.jpg,2.804
alice-lane,train,f,8.5,white,3,3,0,0,0.0,3.64,6.579826654149275,0.14557815770231453,0.2569999999999997,0.009999999999999787,0.2569999999999997,images/roster/alice-lane/2.jpg,3.551,images/roster/alice-lane/3.jpg,3.808
alissa-white-gluz,train,f,7.8,white,2,1,1,0,0.5,4.111,7.651843422313572,,,,,,,,
amber-heard,train,f,8.5,white,5,4,1,0,0.2,3.952,7.0902547096342365,0.3752874453890864,0.8459999999999996,0.20450000000000035,0.8459999999999996,images/roster/amber-heard/2.jpg,3.451,images/roster/amber-heard/3.jpg,4.297
amelia-dimoldenberg,holdout,f,7.2,white,5,5,0,0,0.0,3.7128,6.664540658498556,0.5241504554991822,1.197,0.08800000000000008,1.197,images/roster/amelia-dimoldenberg/1.jpg,2.923,images/roster/amelia-dimoldenberg/2.jpg,4.12
amy-schumer,train,f,4.5,white,5,5,0,0,0.0,3.6189999999999998,6.5538994067145815,0.45860494982064914,1.1010000000000004,0.3150000000000004,1.1010000000000004,images/roster/amy-schumer/4.jpg,2.945,images/roster/amy-schumer/6.jpg,4.046
ana-de-armas,train,f,9.4,latino,5,5,0,0,0.0,3.5878,6.516031833741127,0.452933438818553,0.9649999999999994,0.12299999999999978,0.9649999999999994,images/roster/ana-de-armas/2.jpg,3.188,images/roster/ana-de-armas/5.jpg,4.153
andrew-tate,train,m,6.5,mixed,2,2,0,0,0.0,3.7825,6.7621664818183085,0.48578235867515834,0.6870000000000003,0.34350000000000014,0.6870000000000003,images/roster/andrew-tate/1.jpg,3.439,images/roster/andrew-tate/2.jpg,4.126
angela-deem,train,f,2.5,white,4,4,0,0,0.0,3.39475,6.3303174696279285,0.34507523334291423,0.73,0.039999999999999813,0.73,images/roster/angela-deem/2.jpg,3.91,images/roster/angela-deem/4.jpg,3.18
