identity_id,split,expected_sex,expected_looks,editorial_ethnicity,submitted_images,scored_images,refused_images,error_images,refusal_rate,raw_mean,aggregate_display_score,raw_sd,raw_range,raw_mad,worst_pair_absolute_raw_gap,worst_pair_image_a,worst_pair_raw_a,worst_pair_image_b,worst_pair_raw_b
adele,train,f,6.5,white,4,2,2,0,0.5,4.0205,7.324506621688421,0.08555992052357256,0.12100000000000044,0.06050000000000022,0.12100000000000044,images/roster/adele/9.jpg,4.081,images/roster/adele/10.jpg,3.96
aerith-gainsborough,train,f,8.5,other,5,4,1,0,0.2,3.502,6.426902004026099,0.5046312184820384,1.0820000000000003,0.21350000000000025,1.0820000000000003,images/roster/aerith-gainsborough/2.jpg,3.886,images/roster/aerith-gainsborough/4.jpg,2.804
alice-lane,train,f,8.5,white,3,3,0,0,0.0,3.64,6.579826654149275,0.14557815770231453,0.2569999999999997,0.009999999999999787,0.2569999999999997,images/roster/alice-lane/2.jpg,3.551,images/roster/alice-lane/3.jpg,3.808
alissa-white-gluz,train,f,7.8,white,2,1,1,0,0.5,4.111,7.651843422313572,,,,,,,,
amber-heard,train,f,8.5,white,5,4,1,0,0.2,3.942,7.063235827028208,0.3712196115508986,0.81,0.19999999999999996,0.81,images/roster/amber-heard/2.jpg,3.451,images/roster/amber-heard/3.jpg,4.261
amelia-dimoldenberg,holdout,f,7.2,white,5,5,0,0,0.0,3.7114,6.662665016277083,0.5234069162706966,1.2089999999999996,0.09999999999999964,1.2089999999999996,images/roster/amelia-dimoldenberg/1.jpg,2.923,images/roster/amelia-dimoldenberg/2.jpg,4.132
amy-schumer,train,f,4.5,white,5,5,0,0,0.0,3.6162,6.550469782265825,0.45779220176844443,1.1010000000000004,0.3290000000000002,1.1010000000000004,images/roster/amy-schumer/4.jpg,2.945,images/roster/amy-schumer/6.jpg,4.046
ana-de-armas,train,f,9.4,latino,5,5,0,0,0.0,3.5768,6.50285776616415,0.44083522998961855,0.9649999999999994,0.12299999999999978,0.9649999999999994,images/roster/ana-de-armas/2.jpg,3.188,images/roster/ana-de-armas/5.jpg,4.153
andrew-tate,train,m,6.5,mixed,2,2,0,0,0.0,3.7825,6.7621664818183085,0.48578235867515834,0.6870000000000003,0.34350000000000014,0.6870000000000003,images/roster/andrew-tate/1.jpg,3.439,images/roster/andrew-tate/2.jpg,4.126
angela-deem,train,f,2.5,white,4,4,0,0,0.0,3.39475,6.3303174696279285,0.34507523334291423,0.73,0.039999999999999813,0.73,images/roster/angela-deem/2.jpg,3.91,images/roster/angela-deem/4.jpg,3.18
anna-henrietta,holdout,f,7.5,white,5,2,3,0,0.6,3.681,6.623600643283034,0.0028284271247461927,0.0040000000000000036,0.0020000000000000018,0.0040000000000000036,images/roster/anna-henrietta/1.jpg,3.679,images/roster/anna-henrietta/5.jpg,3.683
anna-sorokin,holdout,f,5.5,white,4,3,1,0,0.25,3.794333333333333,6.779109690281819,0.3625773480698062,0.7130000000000001,0.242,0.7130000000000001,images/roster/anna-sorokin/2.jpg,3.476,images/roster/anna-sorokin/4.jpg,4.189
anne-hathaway,train,f,8.3,white,5,5,0,0,0.0,3.9142,6.996727695916652,0.2823936968135091,0.7010000000000005,0.0990000000000002,0.7010000000000005,images/roster/anne-hathaway/6.jpg,3.699,images/roster/anne-hathaway/7.jpg,4.4
armie-hammer,train,m,8.0,white,5,5,0,0,0.0,3.7263999999999995,6.682999317796991,0.3746529060343719,0.7959999999999998,0.21599999999999975,0.7959999999999998,images/roster/armie-hammer/1.jpg,4.074,images/roster/armie-hammer/3.jpg,3.278
asmr-darling,train,f,7.4,white,3,3,0,0,0.0,3.010333333333333,5.886415281480332,0.6292982864535175,1.1520000000000001,0.137,1.1520000000000001,images/roster/asmr-darling/1.jpg,3.44,images/roster/asmr-darling/5.jpg,2.288
aubrey-oday,validation,f,5.5,white,3,3,0,0,0.0,4.124666666666667,7.707232118891916,0.18404981209806598,0.3340000000000001,0.032999999999999474,0.3340000000000001,images/roster/aubrey-oday/2.jpg,3.913,images/roster/aubrey-oday/4.jpg,4.247
